seed,n_real,n_spurious,det_8,m_8,i_8,det_12,m_12,i_12,det_20,m_20,i_20,det_30,m_30,i_30
30,4,0,1,0.07209873886672556,49.76506043781608,1,0.0598347536534691,48.22124235902033,1,0.10405893670150723,50.241452037809175,1,0.05018697398863936,48.341083206720036
31,4,0,1,0.07381411607018107,29.359637408096585,1,0.05930956677661359,32.82975027799467,1,0.10693989895083443,54.2645995442292,1,0.048696550109845485,49.218356478546006
32,4,0,1,0.07207146442752649,20.841456704475732,1,0.06616652219406986,47.33048903610189,1,0.09853990783225366,53.27155913205405,1,0.0510809825771788,57.08243069333953
33,4,0,1,0.09011534570323224,48.12282475854619,1,0.0645570070584863,47.71918760345491,1,0.10521646922024878,53.83362955754575,1,0.050497277512850484,48.85184066530681
34,4,0,1,0.07456356766380136,46.317749064394775,1,0.06544132515183339,39.33790352308304,1,0.10193537057649135,51.2493244360884,1,0.049139029772783664,53.29000515631469
35,4,0,1,0.07675951644901459,45.175959991055095,1,0.06717760517478512,51.0809807284805,1,0.1006228348651754,48.456948983355126,1,0.04765813424375078,46.10254237950886
36,4,0,1,0.0783733368794208,53.72132667870143,1,0.06081428163257892,49.45939359128696,1,0.1000912587289437,52.08374971197474,1,0.051851294471892705,53.14800813457742
37,4,0,1,0.07444598776625011,42.01629573920463,1,0.06468878595550318,57.199597406286536,1,0.10503543415803068,53.699362589620044,1,0.04944901149046318,50.82528149276121
38,4,0,1,0.09016956661535674,47.73081597981474,1,0.05946906398646975,50.18257345822119,1,0.09970601569520755,51.813041228854644,1,0.05190998224841402,52.82228470526003
39,4,0,1,0.06748427933764416,30.74822638076484,1,0.060345097654669125,42.768441231437,1,0.09806691000520583,48.964587504286996,1,0.052896173326651905,50.64495724108866
40,4,0,1,0.07854395211617138,32.77110453344842,1,0.06384799694298704,60.35862558488877,1,0.1050473265105999,56.845945128297316,1,0.05397120709217772,54.43942755473509
41,4,0,1,0.07860716779691666,42.38286494782763,1,0.07193372306568671,58.64947002696022,1,0.1059956071679003,50.195633228953675,1,0.049504551595429304,46.49734478875951
42,4,0,1,0.08229012832146976,47.10889952059416,1,0.06463365327433461,50.60029669432233,1,0.10102055649329343,52.98909044771849,1,0.051067328062683666,57.11675678288023
43,4,0,1,0.08757548185457976,61.34513878780125,1,0.07085582482074582,50.9029644532711,1,0.10169710958235868,51.36246060695951,1,0.04932436791365262,48.34794440400436
